                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7208,                0.25323,                0.73013,                 2.4232,             0.00023367,             0.00023367,             0.00023367
                      2,                 2.2258,                0.48336,                0.95194,                 2.1425,             0.00045299,             0.00045299,             0.00045299
                      3,                 1.7083,                0.68669,                0.99815,                 1.9942,             0.00065347,             0.00065347,             0.00065347
                      4,                 1.2901,                0.78835,                0.99908,                 1.9514,             0.00062918,             0.00062918,             0.00062918
                      5,                 1.0866,                 0.7939,                0.99908,                 1.8876,              0.0006009,              0.0006009,              0.0006009
                      6,                0.96154,                0.88262,                      1,                 1.8157,             0.00057263,             0.00057263,             0.00057263
                      7,                0.86992,                0.91774,                      1,                 1.9221,             0.00054435,             0.00054435,             0.00054435
                      8,                0.82118,                0.92329,                      1,                   1.73,             0.00051608,             0.00051608,             0.00051608
                      9,                0.75448,                0.90481,                      1,                 1.7439,              0.0004878,              0.0004878,              0.0004878
                     10,                0.72072,                0.91959,                      1,                 1.7663,             0.00045953,             0.00045953,             0.00045953
                     11,                0.68459,                 0.9122,                      1,                 1.7195,             0.00043126,             0.00043126,             0.00043126
                     12,                0.65577,                0.91682,                      1,                 1.7108,             0.00040298,             0.00040298,             0.00040298
                     13,                0.62311,                0.92237,                      1,                 1.7246,             0.00037471,             0.00037471,             0.00037471
                     14,                0.61294,                0.96303,                      1,                 1.6888,             0.00034643,             0.00034643,             0.00034643
                     15,                0.58072,                0.95749,                      1,                 1.6908,             0.00031816,             0.00031816,             0.00031816
                     16,                0.59086,                0.92421,                      1,                 1.7734,             0.00028988,             0.00028988,             0.00028988
                     17,                0.57329,                0.94455,                      1,                 1.7011,             0.00026161,             0.00026161,             0.00026161
                     18,                0.55072,                0.96396,                      1,                 1.7255,             0.00023334,             0.00023334,             0.00023334
                     19,                 0.5441,                0.95656,                      1,                 1.6849,             0.00020506,             0.00020506,             0.00020506
                     20,                0.51237,                0.96026,                      1,                 1.6978,             0.00017679,             0.00017679,             0.00017679
                     21,                0.51951,                0.97505,                      1,                 1.6699,             0.00014851,             0.00014851,             0.00014851
                     22,                 0.5086,                 0.9695,                      1,                 1.6719,             0.00012024,             0.00012024,             0.00012024
                     23,                0.49081,                0.96858,                      1,                 1.6799,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     24,                 0.4996,                0.97227,                      1,                 1.6936,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     25,                0.50485,                0.97597,                      1,                 1.6648,             3.5414e-05,             3.5414e-05,             3.5414e-05
