                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7864,                 0.2098,                0.68392,                 2.4423,             0.00019278,             0.00019278,             0.00019278
                      2,                 2.4281,                0.33549,                0.87893,                 2.3155,             0.00037715,             0.00037715,             0.00037715
                      3,                 2.0268,                 0.5915,                0.96673,                 2.1077,             0.00054568,             0.00054568,             0.00054568
                      4,                 1.6096,                0.60906,                0.99445,                 2.0502,             0.00062918,             0.00062918,             0.00062918
                      5,                 1.3252,                0.72458,                0.99908,                 1.9682,              0.0006009,              0.0006009,              0.0006009
                      6,                 1.1565,                0.83087,                      1,                 1.8778,             0.00057263,             0.00057263,             0.00057263
                      7,                  1.031,                0.85952,                      1,                 1.8385,             0.00054435,             0.00054435,             0.00054435
                      8,                0.95082,                0.89556,                      1,                 1.7995,             0.00051608,             0.00051608,             0.00051608
                      9,                0.87177,                0.87523,                      1,                 1.7966,              0.0004878,              0.0004878,              0.0004878
                     10,                 0.8219,                0.89187,                      1,                 1.7882,             0.00045953,             0.00045953,             0.00045953
                     11,                 0.7821,                0.88817,                      1,                 1.7752,             0.00043126,             0.00043126,             0.00043126
                     12,                0.74499,                0.91774,                      1,                 1.7555,             0.00040298,             0.00040298,             0.00040298
                     13,                0.70016,                 0.9122,                      1,                 1.7532,             0.00037471,             0.00037471,             0.00037471
                     14,                0.69796,                0.92514,                      1,                 1.7467,             0.00034643,             0.00034643,             0.00034643
                     15,                0.66928,                 0.9464,                      1,                 1.7324,             0.00031816,             0.00031816,             0.00031816
                     16,                0.66194,                 0.9353,                      1,                 1.7283,             0.00028988,             0.00028988,             0.00028988
                     17,                0.64375,                 0.9427,                      1,                 1.7246,             0.00026161,             0.00026161,             0.00026161
                     18,                0.63011,                0.95009,                      1,                 1.7201,             0.00023334,             0.00023334,             0.00023334
                     19,                 0.6223,                0.94177,                      1,                 1.7231,             0.00020506,             0.00020506,             0.00020506
                     20,                0.58507,                0.95379,                      1,                 1.7121,             0.00017679,             0.00017679,             0.00017679
                     21,                0.58758,                0.95841,                      1,                 1.7049,             0.00014851,             0.00014851,             0.00014851
                     22,                0.58912,                0.96396,                      1,                 1.7057,             0.00012024,             0.00012024,             0.00012024
                     23,                0.56185,                0.95749,                      1,                 1.7082,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     24,                0.57094,                0.95656,                      1,                  1.704,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     25,                0.58057,                0.96396,                      1,                 1.7013,             3.5414e-05,             3.5414e-05,             3.5414e-05
