                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5257,                0.33641,                0.84381,                 2.3472,             0.00023761,             0.00023761,             0.00023761
                      2,                 1.9861,                0.54529,                0.98336,                 2.1445,             0.00045678,             0.00045678,             0.00045678
                      3,                 1.5797,                0.71534,                0.99815,                 2.0069,             0.00065709,             0.00065709,             0.00065709
                      4,                 1.3656,                0.80776,                0.99723,                   1.94,             0.00062918,             0.00062918,             0.00062918
                      5,                 1.2098,                0.83457,                0.99908,                 1.8743,              0.0006009,              0.0006009,              0.0006009
                      6,                 1.1392,                0.86229,                0.99908,                 1.8388,             0.00057263,             0.00057263,             0.00057263
                      7,                 1.0232,                0.87893,                      1,                 1.8224,             0.00054435,             0.00054435,             0.00054435
                      8,                0.96845,                0.91405,                      1,                 1.7724,             0.00051608,             0.00051608,             0.00051608
                      9,                0.91255,                0.91497,                      1,                 1.7958,              0.0004878,              0.0004878,              0.0004878
                     10,                0.88188,                0.88632,                0.99908,                 1.7749,             0.00045953,             0.00045953,             0.00045953
                     11,                0.82737,                0.90665,                      1,                 1.7636,             0.00043126,             0.00043126,             0.00043126
                     12,                0.76639,                0.91774,                      1,                  1.755,             0.00040298,             0.00040298,             0.00040298
                     13,                0.76017,                0.91867,                      1,                  1.755,             0.00037471,             0.00037471,             0.00037471
                     14,                 0.7374,                0.93346,                      1,                 1.7452,             0.00034643,             0.00034643,             0.00034643
                     15,                0.72065,                0.93993,                      1,                 1.7352,             0.00031816,             0.00031816,             0.00031816
                     16,                0.67202,                0.92884,                      1,                  1.748,             0.00028988,             0.00028988,             0.00028988
                     17,                0.65531,                0.92421,                      1,                  1.749,             0.00026161,             0.00026161,             0.00026161
                     18,                0.65457,                0.94177,                      1,                 1.7369,             0.00023334,             0.00023334,             0.00023334
                     19,                0.63168,                0.94085,                      1,                 1.7251,             0.00020506,             0.00020506,             0.00020506
                     20,                0.60499,                0.94177,                      1,                 1.7215,             0.00017679,             0.00017679,             0.00017679
                     21,                0.60351,                0.94547,                      1,                 1.7175,             0.00014851,             0.00014851,             0.00014851
                     22,                0.58346,                0.94362,                      1,                 1.7213,             0.00012024,             0.00012024,             0.00012024
                     23,                0.57795,                0.94732,                      1,                  1.723,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     24,                0.55227,                0.94177,                      1,                 1.7158,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     25,                0.55787,                 0.9427,                      1,                 1.7193,             3.5414e-05,             3.5414e-05,             3.5414e-05
